"Aleutians East, AK",0
"Aleutians West, AK",0
"Anchorage, AK",0
"Angoon, AK",0
"Bethel, AK",0
"Bristol Bay, AK",0
"Denali, AK",0
"Dillingham, AK",0
"Fairbanks North Stark, AK",0
"Haines, AK",0
"Hoonah, AK",0
"Juneau, AK",0
"Kenai Peninsula, AK",0
"Ketchikan Gateway, AK",0
"Kodiak Island, AK",0
"Lake and Peninsula, AK",0
"Matanuska-Susitna, AK",0
"Nome, AK",0
"North Slope, AK",0
"Northwest Arctic, AK",0
"Petersburg, AK",0
"Prince Of Wales-Hyder, AK",0
"SE Fairbanks, AK",0
"Sitka, AK",0
"Skagway, AK",0
"Valdez-Cordova, AK",0
"Wade Hampton, AK",0
"Wrangell, AK",0
"Yakutat, AK",0
"Yukon-Koyukuk, AK",0
"Autauga, AL",0
"Baldwin, AL",0
"Barbour, AL",0
"Bibb, AL",0
"Blount, AL",0
"Bullock, AL",0
"Butler, AL",0
"Calhoun, AL",0
"Chambers, AL",0
"Cherokee, AL",0
"Chilton, AL",0
"Choctaw, AL",0
"Clarke, AL",0
"Clay, AL",0
"Cleburne, AL",0
"Coffee, AL",0
"Colbert, AL",0
"Conecuh, AL",0
"Coosa, AL",0
"Covington, AL",0
"Crenshaw, AL",0
"Cullman, AL",0
"Dale, AL",0
"Dallas, AL",0
"DeKalb, AL",0
"Elmore, AL",0
"Escambia, AL",0
"Etowah, AL",0
"Fayette, AL",0
"Franklin, AL",0
"Geneva, AL",0
"Greene, AL",0
"Hale, AL",0
"Henry, AL",0
"Houston, AL",0
"Jackson, AL",0
"Jefferson, AL",0
"Lamar, AL",0
"Lauderdale, AL",0
"Lawrence, AL",0
"Lee, AL",0
"Limestone, AL",0
"Lowndes, AL",0
"Macon, AL",0
"Madison, AL",0
"Marengo, AL",0
"Marion, AL",0
"Marshall, AL",0
"Mobile, AL",0
"Monroe, AL",0
"Montgomery, AL",0
"Morgan, AL",0
"Perry, AL",0
"Pickens, AL",0
"Pike, AL",0
"Randolph, AL",0
"Russell, AL",0
"Shelby, AL",0
"St. Clair, AL",0
"Sumter, AL",0
"Talladega, AL",0
"Tallapoosa, AL",0
"Tuscaloosa, AL",0
"Walker, AL",0
"Washington, AL",0
"Wilcox, AL",0
"Winston, AL",0
"Arkansas, AR",0
"Ashley, AR",0
"Baxter, AR",0
"Benton, AR",0
"Boone, AR",0
"Bradley, AR",0
"Calhoun, AR",0
"Carroll, AR",0
"Chicot, AR",0
"Clark, AR",0
"Clay, AR",0
"Cleburne, AR",0
"Cleveland, AR",0
"Columbia, AR",0
"Conway, AR",0
"Craighead, AR",0
"Crawford, AR",0
"Crittenden, AR",0
"Cross, AR",0
"Dallas, AR",0
"Desha, AR",0
"Drew, AR",0
"Faulkner, AR",0
"Franklin, AR",0
"Fulton, AR",0
"Garland, AR",0
"Grant, AR",0
"Greene, AR",0
"Hempstead, AR",0
"Hot Spring, AR",0
"Howard, AR",0
"Independence, AR",0
"Izard, AR",0
"Jackson, AR",0
"Jefferson, AR",0
"Johnson, AR",0
"Lafayette, AR",0
"Lawrence, AR",0
"Lee, AR",0
"Lincoln, AR",0
"Little River, AR",0
"Logan, AR",0
"Lonoke, AR",0
"Madison, AR",0
"Marion, AR",0
"Miller, AR",0
"Mississippi, AR",0
"Monroe, AR",0
"Montgomery, AR",0
"Nevada, AR",0
"Newton, AR",0
"Ouachita, AR",0
"Perry, AR",0
"Phillips, AR",0
"Pike, AR",0
"Poinsett, AR",0
"Polk, AR",0
"Pope, AR",0
"Prairie, AR",0
"Pulaski, AR",0
"Randolph, AR",0
"Saline, AR",0
"Scott, AR",0
"Searcy, AR",0
